,x_value,y_value,z_value
0,-0.5,4000000000.0,-58.18178935512882
1,-0.5,4001666666.7,-58.11338825843038
2,-0.5,4003333333.3,-57.958623007587875
3,-0.5,4005000000.0,-57.992307162594166
4,-0.5,4006666666.7,-57.386814751555306
5,-0.5,4008333333.3,-57.05013644711481
6,-0.5,4010000000.0,-57.6779071908102
7,-0.5,4011666666.7,-57.79523908342583
8,-0.5,4013333333.3,-57.626193804327656
9,-0.5,4015000000.0,-58.136391765815546
10,-0.5,4016666666.7,-57.60212485459091
11,-0.5,4018333333.3,-56.6847903948981
12,-0.5,4020000000.0,-57.45176550381736
13,-0.5,4021666666.7,-55.67164604873726
14,-0.5,4023333333.3,-55.74905149541866
15,-0.5,4025000000.0,-55.54307996780335
16,-0.5,4026666666.7,-56.61388960092451
17,-0.5,4028333333.3,-57.456046311824196
18,-0.5,4030000000.0,-56.76679857255988
19,-0.5,4031666666.7,-57.110812033013985
20,-0.5,4033333333.3,-57.88916999961795
21,-0.5,4035000000.0,-57.65540275223679
22,-0.5,4036666666.7,-58.25944101809028
23,-0.5,4038333333.3,-57.52829483962907
24,-0.5,4040000000.0,-56.35971441238106
25,-0.5,4041666666.7,-57.595851457665304
26,-0.5,4043333333.3,-57.66890241570721
27,-0.5,4045000000.0,-57.209187688876646
28,-0.5,4046666666.7,-57.66070739073892
29,-0.5,4048333333.3,-57.99731632751896
30,-0.5,4050000000.0,-57.9551564214642
31,-0.5,4051666666.7,-57.12232558300851
32,-0.5,4053333333.3,-57.22198634395832
33,-0.5,4055000000.0,-57.348037650577965
34,-0.5,4056666666.7,-57.504738083483424
35,-0.5,4058333333.3,-57.625889487024
36,-0.5,4060000000.0,-58.02252917546418
37,-0.5,4061666666.7,-57.70267116027709
38,-0.5,4063333333.3,-57.98826242644972
39,-0.5,4065000000.0,-58.33036176356131
40,-0.5,4066666666.7,-57.72101925404408
41,-0.5,4068333333.3,-57.89378229391444
42,-0.5,4070000000.0,-56.83619298795519
43,-0.5,4071666666.7,-56.66948357903348
44,-0.5,4073333333.3,-58.04369384648432
45,-0.5,4075000000.0,-57.34698626209435
46,-0.5,4076666666.7,-57.165827477694606
47,-0.5,4078333333.3,-58.24234907572985
48,-0.5,4080000000.0,-57.0392827131442
49,-0.5,4081666666.7,-57.652483479931504
