,x_value,y_value,z_value
0,-0.1,4800000000,-54.70213013667831
1,-0.1,4801000000,-55.319394229862624
2,-0.1,4802000000,-54.814310947744254
3,-0.1,4803000000,-54.56512770383708
4,-0.1,4804000000,-54.63062834608991
5,-0.1,4805000000,-54.67819673650614
6,-0.1,4806000000,-54.441755552960636
7,-0.1,4807000000,-54.605735813108225
8,-0.1,4808000000,-54.720614511134656
9,-0.1,4809000000,-54.56186474597673
10,-0.1,4810000000,-54.79321347453435
11,-0.1,4811000000,-54.74994372845263
12,-0.1,4812000000,-54.64205388226653
13,-0.1,4813000000,-54.836756901126755
14,-0.1,4814000000,-54.566605036131214
15,-0.1,4815000000,-54.81405168241085
16,-0.1,4816000000,-54.9501036033724
17,-0.1,4817000000,-54.4030610883026
18,-0.1,4818000000,-54.65276545188944
19,-0.1,4819000000,-54.277209697364356
20,-0.1,4820000000,-54.95246071098816
21,-0.1,4821000000,-55.265384309972035
22,-0.1,4822000000,-54.37867541825454
23,-0.1,4823000000,-54.490421940911745
24,-0.1,4824000000,-54.453842607172824
25,-0.1,4825000000,-54.599143550288176
26,-0.1,4826000000,-54.60656327976639
27,-0.1,4827000000,-54.65335193439178
28,-0.1,4828000000,-54.701474531133734
29,-0.1,4829000000,-54.961494041773875
30,-0.1,4830000000,-54.78469391120504
31,-0.1,4831000000,-55.20988724004681
32,-0.1,4832000000,-54.683540043409025
33,-0.1,4833000000,-55.04014966229271
34,-0.1,4834000000,-54.61061416787636
35,-0.1,4835000000,-54.50777511055583
36,-0.1,4836000000,-55.04145314573358
37,-0.1,4837000000,-55.03081985911035
38,-0.1,4838000000,-54.92860353821233
39,-0.1,4839000000,-55.16080025586377
40,-0.1,4840000000,-54.911248538268815
41,-0.1,4841000000,-54.430448367218965
42,-0.1,4842000000,-54.49423416083532
43,-0.1,4843000000,-55.085664070943196
44,-0.1,4844000000,-54.85473408408716
45,-0.1,4845000000,-54.718206678884926
46,-0.1,4846000000,-54.74136100760654
47,-0.1,4847000000,-54.76014812226384
48,-0.1,4848000000,-54.69781587717297
49,-0.1,4849000000,-54.66465797805497
50,-0.1,4850000000,-54.947219808515754
51,-0.1,4851000000,-54.807207717939946
52,-0.1,4852000000,-54.64915109429565
53,-0.1,4853000000,-54.5097886466937
54,-0.1,4854000000,-54.853280887372726
55,-0.1,4855000000,-54.66918249576761
56,-0.1,4856000000,-54.8505753415741
57,-0.1,4857000000,-55.20977058927965
58,-0.1,4858000000,-54.998842883180934
59,-0.1,4859000000,-54.83170042709756
60,-0.1,4860000000,-54.8898124585005
61,-0.1,4861000000,-55.00529420146332
62,-0.1,4862000000,-54.66718432727136
63,-0.1,4863000000,-54.6329088197418
64,-0.1,4864000000,-54.595111250585795
65,-0.1,4865000000,-54.67428879516396
66,-0.1,4866000000,-54.94779190857723
67,-0.1,4867000000,-54.758987269517334
68,-0.1,4868000000,-54.98003936847301
69,-0.1,4869000000,-54.822821974584
70,-0.1,4870000000,-55.079233034783385
71,-0.1,4871000000,-54.85695932177877
72,-0.1,4872000000,-54.837806110076585
73,-0.1,4873000000,-54.61146911860631
74,-0.1,4874000000,-54.816680386752026
75,-0.1,4875000000,-54.465526270108356
76,-0.1,4876000000,-54.40396370249421
77,-0.1,4877000000,-54.65344619417927
78,-0.1,4878000000,-54.64549420018835
79,-0.1,4879000000,-54.57245065959998
80,-0.1,4880000000,-54.74064751492784
81,-0.1,4881000000,-54.77365610873929
82,-0.1,4882000000,-54.87763751152318
83,-0.1,4883000000,-54.94246428312181
84,-0.1,4884000000,-54.627766525362375
85,-0.1,4885000000,-54.92381524962518
86,-0.1,4886000000,-54.452301662941984
87,-0.1,4887000000,-54.499876168199386
88,-0.1,4888000000,-54.430989001819384
89,-0.1,4889000000,-54.67021891785325
90,-0.1,4890000000,-54.730816459422385
91,-0.1,4891000000,-54.64043792532088
92,-0.1,4892000000,-54.842869882396116
93,-0.1,4893000000,-54.82305378452001
94,-0.1,4894000000,-54.42309193493266
95,-0.1,4895000000,-54.662616595698125
96,-0.1,4896000000,-54.760753273383216
97,-0.1,4897000000,-54.66333100341995
98,-0.1,4898000000,-54.999187150248915
99,-0.1,4899000000,-55.01953004630543
100,-0.1,4900000000,-54.71250433907095
101,-0.1,4901000000,-54.769115189141935
102,-0.1,4902000000,-54.18434886966455
103,-0.1,4903000000,-54.88105295416371
104,-0.1,4904000000,-54.72620517768363
105,-0.1,4905000000,-54.7139436369454
106,-0.1,4906000000,-54.98817822381615
107,-0.1,4907000000,-54.35225630331218
108,-0.1,4908000000,-54.851854780534374
109,-0.1,4909000000,-54.54167226657623
110,-0.1,4910000000,-54.420746837540236
111,-0.1,4911000000,-54.69965993279801
112,-0.1,4912000000,-54.82500576104727
113,-0.1,4913000000,-54.98827533944103
114,-0.1,4914000000,-54.470208658879294
115,-0.1,4915000000,-54.464569169360345
116,-0.1,4916000000,-54.94141705342736
117,-0.1,4917000000,-54.687309400727585
118,-0.1,4918000000,-54.83407511224301
119,-0.1,4919000000,-54.668511232636725
120,-0.1,4920000000,-54.587434260539005
121,-0.1,4921000000,-54.72940285887674
122,-0.1,4922000000,-54.80774022380607
123,-0.1,4923000000,-54.912586280241825
124,-0.1,4924000000,-54.90911396707102
125,-0.1,4925000000,-54.70174524889516
126,-0.1,4926000000,-54.79819727049531
127,-0.1,4927000000,-55.093899717025394
128,-0.1,4928000000,-54.56074545209671
129,-0.1,4929000000,-54.656915856594324
130,-0.1,4930000000,-54.569539677890916
131,-0.1,4931000000,-54.770666624943004
132,-0.1,4932000000,-54.422014371193825
133,-0.1,4933000000,-55.13518467303837
134,-0.1,4934000000,-54.71908215778329
135,-0.1,4935000000,-55.056353335581825
136,-0.1,4936000000,-54.96555704477106
137,-0.1,4937000000,-55.002392364961246
138,-0.1,4938000000,-54.81254289490742
139,-0.1,4939000000,-55.18888666073147
140,-0.1,4940000000,-54.53983008556843
141,-0.1,4941000000,-54.942726259636984
142,-0.1,4942000000,-54.70780580049724
143,-0.1,4943000000,-54.93939411502006
144,-0.1,4944000000,-54.71205637512114
145,-0.1,4945000000,-54.66373428544572
146,-0.1,4946000000,-54.90669989040593
147,-0.1,4947000000,-54.65367830653296
148,-0.1,4948000000,-54.48311688936986
149,-0.1,4949000000,-54.86096365281742
150,-0.1,4950000000,-54.7373787381771
151,-0.1,4951000000,-54.81680205113936
152,-0.1,4952000000,-54.59664494514187
153,-0.1,4953000000,-54.46926260110253
