,x_value,y_value,z_value
0,-0.5,4000000000.0,-59.855159856126
1,-0.5,4001666666.7,-58.54182893523414
2,-0.5,4003333333.3,-58.15090440336267
3,-0.5,4005000000.0,-59.23592263911036
4,-0.5,4006666666.7,-58.5800770327309
5,-0.5,4008333333.3,-59.61246355793003
6,-0.5,4010000000.0,-58.23733508483791
7,-0.5,4011666666.7,-60.29063401248464
8,-0.5,4013333333.3,-58.89463505069888
9,-0.5,4015000000.0,-59.92751450871918
10,-0.5,4016666666.7,-58.99019272283007
11,-0.5,4018333333.3,-59.6362685450978
12,-0.5,4020000000.0,-59.126246032265406
13,-0.5,4021666666.7,-59.370497148553184
14,-0.5,4023333333.3,-59.426022683646984
15,-0.5,4025000000.0,-59.00875511762304
16,-0.5,4026666666.7,-59.49877211060109
17,-0.5,4028333333.3,-59.65289142308434
18,-0.5,4030000000.0,-59.58844313680888
19,-0.5,4031666666.7,-59.98818707225691
20,-0.5,4033333333.3,-59.16183046402192
21,-0.5,4035000000.0,-59.275663823728294
22,-0.5,4036666666.7,-58.53766969260283
23,-0.5,4038333333.3,-59.967895294603466
24,-0.5,4040000000.0,-58.74744139775768
25,-0.5,4041666666.7,-59.440818438134414
26,-0.5,4043333333.3,-59.71057579015991
27,-0.5,4045000000.0,-59.34546099881096
28,-0.5,4046666666.7,-58.718614814059265
29,-0.5,4048333333.3,-59.26125260010245
30,-0.5,4050000000.0,-59.01655318086136
31,-0.5,4051666666.7,-59.18975368551819
32,-0.5,4053333333.3,-58.949804505274685
33,-0.5,4055000000.0,-59.03096013639082
34,-0.5,4056666666.7,-59.755579110823795
35,-0.5,4058333333.3,-59.73547666561461
36,-0.5,4060000000.0,-58.44702786673701
37,-0.5,4061666666.7,-59.00238250691618
38,-0.5,4063333333.3,-58.77836831267325
39,-0.5,4065000000.0,-59.45305019907174
40,-0.5,4066666666.7,-58.692917671745334
41,-0.5,4068333333.3,-58.99318316758692
42,-0.5,4070000000.0,-58.73245337528013
43,-0.5,4071666666.7,-58.59328568035744
44,-0.5,4073333333.3,-59.49576179561491
45,-0.5,4075000000.0,-59.9830163398442
46,-0.5,4076666666.7,-59.038707452779846
47,-0.5,4078333333.3,-58.67974478850031
48,-0.5,4080000000.0,-59.1232701701835
49,-0.5,4081666666.7,-59.04095299913628
50,-0.5,4083333333.3,-59.33778794338072
51,-0.5,4085000000.0,-59.18116916206145
52,-0.5,4086666666.7,-58.624303489075835
53,-0.5,4088333333.3,-59.48444439252971
54,-0.5,4090000000.0,-59.22674938932434
55,-0.5,4091666666.7,-58.54949855805523
56,-0.5,4093333333.3,-59.31707485618813
57,-0.5,4095000000.0,-59.29205067507209
58,-0.5,4096666666.7,-59.153787807477975
59,-0.5,4098333333.3,-58.7915355644533
60,-0.5,4100000000.0,-58.800963248836815
61,-0.5,4101666666.7,-59.35075960534573
62,-0.5,4103333333.3,-59.533300744299765
63,-0.5,4105000000.0,-59.557174943396625
64,-0.5,4106666666.7,-59.9817277159613
65,-0.5,4108333333.3,-59.074711689000935
66,-0.5,4110000000.0,-58.97668186169025
67,-0.5,4111666666.7,-59.32379256895878
68,-0.5,4113333333.3,-57.97954007411565
69,-0.5,4115000000.0,-60.395327810015765
70,-0.5,4116666666.7,-58.49429005036989
71,-0.5,4118333333.3,-59.10129528994961
72,-0.5,4120000000.0,-58.715593331423094
73,-0.5,4121666666.7,-59.082505529282315
74,-0.5,4123333333.3,-59.21256854233329
75,-0.5,4125000000.0,-59.01049512874568
76,-0.5,4126666666.7,-59.252459271634535
77,-0.5,4128333333.3,-59.54959285283501
78,-0.5,4130000000.0,-59.43143644389315
79,-0.5,4131666666.7,-59.64985544476866
80,-0.5,4133333333.3,-59.0170194246495
81,-0.5,4135000000.0,-59.642372762670036
82,-0.5,4136666666.7,-59.20805050069565
83,-0.5,4138333333.3,-59.213380400006564
84,-0.5,4140000000.0,-59.52113750091798
85,-0.5,4141666666.7,-60.087050568969794
86,-0.5,4143333333.3,-59.28452431623312
87,-0.5,4145000000.0,-59.396991297108954
88,-0.5,4146666666.7,-58.66290066319503
89,-0.5,4148333333.3,-58.877032161132945
90,-0.5,4150000000.0,-59.543386499417544
91,-0.5,4151666666.7,-59.277103554213404
92,-0.5,4153333333.3,-58.85763740490412
93,-0.5,4155000000.0,-59.091822984747246
94,-0.5,4156666666.7,-58.80391243531644
95,-0.5,4158333333.3,-58.950079229911985
96,-0.5,4160000000.0,-59.29834201354588
97,-0.5,4161666666.7,-59.281894172094276
98,-0.5,4163333333.3,-58.894266829574285
99,-0.5,4165000000.0,-59.153790728443084
100,-0.5,4166666666.7,-59.57751403923059
101,-0.5,4168333333.3,-58.9784472786856
102,-0.5,4170000000.0,-59.639724671379525
103,-0.5,4171666666.7,-59.75378110685624
104,-0.5,4173333333.3,-58.66897696464634
105,-0.5,4175000000.0,-59.69522638904433
106,-0.5,4176666666.7,-59.74195122227502
107,-0.5,4178333333.3,-58.72811251290968
108,-0.5,4180000000.0,-60.08504330548476
109,-0.5,4181666666.7,-58.52113215115673
110,-0.5,4183333333.3,-59.14912939677311
111,-0.5,4185000000.0,-58.95586904941026
112,-0.5,4186666666.7,-58.56288625162209
113,-0.5,4188333333.3,-59.15136966196415
114,-0.5,4190000000.0,-59.429081905725724
115,-0.5,4191666666.7,-59.56067695404761
116,-0.5,4193333333.3,-59.42367859855434
117,-0.5,4195000000.0,-59.226419677541
118,-0.5,4196666666.7,-59.57933398380632
119,-0.5,4198333333.3,-58.85190185755562
120,-0.5,4200000000.0,-59.52759077702354
121,-0.5,4201666666.7,-59.52478674575538
122,-0.5,4203333333.3,-59.74562415703669
123,-0.5,4205000000.0,-58.57293902546118
124,-0.5,4206666666.7,-59.43434041042528
125,-0.5,4208333333.3,-59.07044874451649
126,-0.5,4210000000.0,-60.14326098442682
