,x_value,y_value,z_value
0,-0.1,4800000000.0,-76.99159012186139
1,-0.1,4800666666.7,-73.49297120696966
2,-0.1,4801333333.3,-72.99869494319405
3,-0.1,4802000000.0,-68.43594091210264
4,-0.1,4802666666.7,-64.66009730509734
5,-0.1,4803333333.3,-73.02536417612717
6,-0.1,4804000000.0,-64.56111285887962
7,-0.1,4804666666.7,-66.24820059919392
8,-0.1,4805333333.3,-66.92696403718544
9,-0.1,4806000000.0,-70.33516190763586
10,-0.1,4806666666.7,-68.72312757847678
11,-0.1,4807333333.3,-93.4867008846634
12,-0.1,4808000000.0,-74.22154046722355
13,-0.1,4808666666.7,-76.53666875548153
14,-0.1,4809333333.3,-77.4553737824429
15,-0.1,4810000000.0,-74.89508627576357
16,-0.1,4810666666.7,-73.99832370015399
17,-0.1,4811333333.3,-75.52164116838874
18,-0.1,4812000000.0,-80.36662085442926
19,-0.1,4812666666.7,-83.3350281184422
20,-0.1,4813333333.3,-75.26212824079272
21,-0.1,4814000000.0,-84.56808291229719
22,-0.1,4814666666.7,-73.46031369694548
23,-0.1,4815333333.3,-76.65132245552269
24,-0.1,4816000000.0,-75.11308324385547
25,-0.1,4816666666.7,-81.88162710771857
26,-0.1,4817333333.3,-77.58673586497281
27,-0.1,4818000000.0,-83.95944222013836
28,-0.1,4818666666.7,-77.68232731623242
29,-0.1,4819333333.3,-76.17159161314319
30,-0.1,4820000000.0,-76.95017597798065
31,-0.1,4820666666.7,-74.39049628849595
32,-0.1,4821333333.3,-79.68761345080497
33,-0.1,4822000000.0,-75.72378648448337
34,-0.1,4822666666.7,-74.20273512557732
35,-0.1,4823333333.3,-77.12492044119026
36,-0.1,4824000000.0,-75.44820247605956
37,-0.1,4824666666.7,-75.60823589819046
38,-0.1,4825333333.3,-75.68258268786037
39,-0.1,4826000000.0,-73.30174092947794
40,-0.1,4826666666.7,-77.26880837375043
41,-0.1,4827333333.3,-79.28137203621591
42,-0.1,4828000000.0,-76.7941223615637
43,-0.1,4828666666.7,-71.86347246068048
44,-0.1,4829333333.3,-79.84196975188226
45,-0.1,4830000000.0,-75.03162169787588
46,-0.1,4830666666.7,-74.75287834739538
47,-0.1,4831333333.3,-83.77879703628993
48,-0.1,4832000000.0,-77.2467458978116
49,-0.1,4832666666.7,-73.1023258107136
50,-0.1,4833333333.3,-78.43383157420243
51,-0.1,4834000000.0,-76.46848832721594
52,-0.1,4834666666.7,-77.91821933671241
53,-0.1,4835333333.3,-82.73033911543209
54,-0.1,4836000000.0,-76.86595676346353
55,-0.1,4836666666.7,-74.6487666533252
56,-0.1,4837333333.3,-76.26662742266655
57,-0.1,4838000000.0,-81.2463834440452
58,-0.1,4838666666.7,-77.79535115958038
59,-0.1,4839333333.3,-75.07198094681804
60,-0.1,4840000000.0,-78.5565040721423
61,-0.1,4840666666.7,-76.65175051171539
62,-0.1,4841333333.3,-80.44213696704142
63,-0.1,4842000000.0,-75.70372218417675
64,-0.1,4842666666.7,-78.94023347638151
65,-0.1,4843333333.3,-74.41557650291348
66,-0.1,4844000000.0,-78.44340352529578
67,-0.1,4844666666.7,-73.4038632612213
68,-0.1,4845333333.3,-76.51192453305279
69,-0.1,4846000000.0,-75.98896209889739
70,-0.1,4846666666.7,-75.22364888180067
71,-0.1,4847333333.3,-72.87708109519909
72,-0.1,4848000000.0,-75.62150916877759
73,-0.1,4848666666.7,-73.1080592689195
74,-0.1,4849333333.3,-85.20651874265513
75,-0.1,4850000000.0,-75.79197425010075
76,-0.1,4850666666.7,-75.00339887310678
77,-0.1,4851333333.3,-75.36901058709147
78,-0.1,4852000000.0,-77.02000680340747
79,-0.1,4852666666.7,-80.53543173210744
80,-0.1,4853333333.3,-72.23736136281234
81,-0.1,4854000000.0,-77.10297069546928
82,-0.1,4854666666.7,-78.50887332811536
83,-0.1,4855333333.3,-73.80644782200623
84,-0.1,4856000000.0,-81.10664609917933
85,-0.1,4856666666.7,-82.28460915192558
86,-0.1,4857333333.3,-76.58007825890493
87,-0.1,4858000000.0,-77.7479244238368
88,-0.1,4858666666.7,-80.87308945738862
89,-0.1,4859333333.3,-79.22161612889853
90,-0.1,4860000000.0,-72.04138575125059
91,-0.1,4860666666.7,-83.49038407587258
92,-0.1,4861333333.3,-77.26257455984137
93,-0.1,4862000000.0,-74.62274368509162
94,-0.1,4862666666.7,-80.00611799264749
95,-0.1,4863333333.3,-75.26866198673434
96,-0.1,4864000000.0,-75.92328309119425
97,-0.1,4864666666.7,-76.36713637787544
98,-0.1,4865333333.3,-76.39755259283403
99,-0.1,4866000000.0,-77.91805253034018
100,-0.1,4866666666.7,-79.462017734962
101,-0.1,4867333333.3,-76.42044954529507
102,-0.1,4868000000.0,-76.12681639359366
103,-0.1,4868666666.7,-79.48799357502406
104,-0.1,4869333333.3,-72.76726899134306
105,-0.1,4870000000.0,-73.88582053543055
106,-0.1,4870666666.7,-82.65211706637601
107,-0.1,4871333333.3,-75.34729528964546
108,-0.1,4872000000.0,-76.25752611473115
109,-0.1,4872666666.7,-75.34541422705865
110,-0.1,4873333333.3,-76.61018966608474
111,-0.1,4874000000.0,-76.50538231642895
112,-0.1,4874666666.7,-79.75081337851405
113,-0.1,4875333333.3,-73.8723555223327
114,-0.1,4876000000.0,-74.42389678219165
115,-0.1,4876666666.7,-75.72519496236781
116,-0.1,4877333333.3,-74.04888669913896
117,-0.1,4878000000.0,-79.188031962428
118,-0.1,4878666666.7,-79.6262387086367
119,-0.1,4879333333.3,-91.68201876863273
120,-0.1,4880000000.0,-75.83771968371092
121,-0.1,4880666666.7,-72.9763961719071
