,x_value,y_value,z_value
0,-0.1,4500000000.0,-68.96882989336557
1,-0.1,4501666666.7,-64.80567389948251
2,-0.1,4503333333.3,-64.74435660906029
3,-0.1,4505000000.0,-67.07404873041071
4,-0.1,4506666666.7,-68.5100030561049
5,-0.1,4508333333.3,-67.22212914941126
6,-0.1,4510000000.0,-64.40875336049231
7,-0.1,4511666666.7,-64.08020504933538
8,-0.1,4513333333.3,-65.01190830491763
9,-0.1,4515000000.0,-67.2182615694903
10,-0.1,4516666666.7,-69.76027039435188
11,-0.1,4518333333.3,-67.92788824027504
12,-0.1,4520000000.0,-65.70720474976495
13,-0.1,4521666666.7,-67.05307420468391
14,-0.1,4523333333.3,-65.58525744466208
15,-0.1,4525000000.0,-62.36167482849382
16,-0.1,4526666666.7,-66.74967738914121
17,-0.1,4528333333.3,-66.76661455201716
18,-0.1,4530000000.0,-63.539214979392746
19,-0.1,4531666666.7,-65.30596877469169
20,-0.1,4533333333.3,-66.83355128367968
21,-0.1,4535000000.0,-65.09627029299243
22,-0.1,4536666666.7,-66.9595536474616
23,-0.1,4538333333.3,-63.128730710596656
24,-0.1,4540000000.0,-64.97591937531209
25,-0.1,4541666666.7,-67.66032518478754
26,-0.1,4543333333.3,-65.71006453068195
27,-0.1,4545000000.0,-68.33042133535147
28,-0.1,4546666666.7,-67.69558843672284
29,-0.1,4548333333.3,-65.70870069985448
30,-0.1,4550000000.0,-67.29886115643677
31,-0.1,4551666666.7,-66.4454582571172
32,-0.1,4553333333.3,-66.4531680211989
33,-0.1,4555000000.0,-68.14832497355626
34,-0.1,4556666666.7,-63.38659366575479
35,-0.1,4558333333.3,-67.6795082998151
36,-0.1,4560000000.0,-67.89242779580945
37,-0.1,4561666666.7,-66.35390044528515
38,-0.1,4563333333.3,-64.40714307479091
39,-0.1,4565000000.0,-64.2642201869744
40,-0.1,4566666666.7,-61.257921410030896
41,-0.1,4568333333.3,-64.74259941672693
42,-0.1,4570000000.0,-64.68095708627146
43,-0.1,4571666666.7,-63.82436548425622
44,-0.1,4573333333.3,-65.49713519899741
45,-0.1,4575000000.0,-65.46715228430115
46,-0.1,4576666666.7,-66.48742248736711
47,-0.1,4578333333.3,-66.0447599570088
48,-0.1,4580000000.0,-68.61542369472222
49,-0.1,4581666666.7,-67.59551128219161
50,-0.1,4583333333.3,-63.38731586392548
51,-0.1,4585000000.0,-63.85056967603839
52,-0.1,4586666666.7,-65.54666674700306
53,-0.1,4588333333.3,-65.69046014645625
54,-0.1,4590000000.0,-63.532958120639634
55,-0.1,4591666666.7,-64.98004457969479
56,-0.1,4593333333.3,-67.81236597450973
57,-0.1,4595000000.0,-69.31946544269438
58,-0.1,4596666666.7,-67.83857299990531
59,-0.1,4598333333.3,-66.02461214426405
60,-0.1,4600000000.0,-66.17875637215539
61,-0.1,4601666666.7,-66.0931547102467
62,-0.1,4603333333.3,-71.01581825044461
63,-0.1,4605000000.0,-67.5138169088003
64,-0.1,4606666666.7,-69.08930025942844
65,-0.1,4608333333.3,-64.05638350253325
66,-0.1,4610000000.0,-65.60285964736622
67,-0.1,4611666666.7,-68.71682010469135
68,-0.1,4613333333.3,-64.46529871470355
69,-0.1,4615000000.0,-66.04303188321614
70,-0.1,4616666666.7,-70.1413459367594
71,-0.1,4618333333.3,-68.46960747797534
72,-0.1,4620000000.0,-69.18845929109017
73,-0.1,4621666666.7,-66.14976850677623
74,-0.1,4623333333.3,-67.28443450989077
75,-0.1,4625000000.0,-67.20414389071732
76,-0.1,4626666666.7,-69.28758304267208
77,-0.1,4628333333.3,-66.17167624954845
78,-0.1,4630000000.0,-67.5452477216716
79,-0.1,4631666666.7,-63.62582993726966
80,-0.1,4633333333.3,-65.1953428980312
81,-0.1,4635000000.0,-62.64624426966043
82,-0.1,4636666666.7,-63.00165577267241
83,-0.1,4638333333.3,-64.85392199744987
84,-0.1,4640000000.0,-66.13144473554527
85,-0.1,4641666666.7,-67.14124399847394
86,-0.1,4643333333.3,-69.12545331412974
87,-0.1,4645000000.0,-66.26902961775725
88,-0.1,4646666666.7,-66.24816538350518
89,-0.1,4648333333.3,-66.81804590815888
90,-0.1,4650000000.0,-66.75407448107849
91,-0.1,4651666666.7,-67.74567779950382
92,-0.1,4653333333.3,-63.1558427263052
93,-0.1,4655000000.0,-64.87244846266564
94,-0.1,4656666666.7,-63.864904682471355
95,-0.1,4658333333.3,-63.677529023482755
96,-0.1,4660000000.0,-65.52213819393843
97,-0.1,4661666666.7,-65.42104818107411
98,-0.1,4663333333.3,-66.52641047108516
99,-0.1,4665000000.0,-65.5784572386933
100,-0.1,4666666666.7,-66.46201183005165
101,-0.1,4668333333.3,-65.15644259700626
102,-0.1,4670000000.0,-66.35983730099133
103,-0.1,4671666666.7,-64.1798989073082
104,-0.1,4673333333.3,-64.02145712603894
105,-0.1,4675000000.0,-64.27498782812361
106,-0.1,4676666666.7,-63.13399119883591
107,-0.1,4678333333.3,-63.443552702385766
108,-0.1,4680000000.0,-65.80870337577775
109,-0.1,4681666666.7,-72.3161844844922
110,-0.1,4683333333.3,-66.83160640784115
111,-0.1,4685000000.0,-63.75919649429021
112,-0.1,4686666666.7,-62.98840315067992
