,x_value,y_value,z_value
0,-0.1,4500000000.0,-67.76346478247265
1,-0.1,4501666666.7,-68.28566176634212
2,-0.1,4503333333.3,-66.49973420584493
3,-0.1,4505000000.0,-65.92661337972106
4,-0.1,4506666666.7,-63.932877871856675
5,-0.1,4508333333.3,-65.60130945800881
6,-0.1,4510000000.0,-64.01492183882495
7,-0.1,4511666666.7,-70.71149732246707
8,-0.1,4513333333.3,-67.11213231229746
9,-0.1,4515000000.0,-69.58018487011711
10,-0.1,4516666666.7,-70.35974392256696
11,-0.1,4518333333.3,-66.9754980569602
12,-0.1,4520000000.0,-68.67021566425787
13,-0.1,4521666666.7,-67.83408128318865
14,-0.1,4523333333.3,-65.47631837333535
15,-0.1,4525000000.0,-68.11647686435819
16,-0.1,4526666666.7,-61.36410977030241
17,-0.1,4528333333.3,-66.6291197704229
18,-0.1,4530000000.0,-66.03713580908678
19,-0.1,4531666666.7,-65.43472200548821
20,-0.1,4533333333.3,-64.62505014422246
21,-0.1,4535000000.0,-62.294763542744434
22,-0.1,4536666666.7,-65.73045895366329
23,-0.1,4538333333.3,-63.62466744047168
24,-0.1,4540000000.0,-63.85742866393544
25,-0.1,4541666666.7,-66.37731628981649
26,-0.1,4543333333.3,-66.97107025327257
27,-0.1,4545000000.0,-65.27316414501544
28,-0.1,4546666666.7,-65.67040142249726
29,-0.1,4548333333.3,-65.30634076145017
30,-0.1,4550000000.0,-70.09297757050507
31,-0.1,4551666666.7,-65.70033473951331
32,-0.1,4553333333.3,-66.33228301666688
33,-0.1,4555000000.0,-66.32502781483676
34,-0.1,4556666666.7,-62.863578242408664
35,-0.1,4558333333.3,-64.67756360409908
36,-0.1,4560000000.0,-66.63678741476093
37,-0.1,4561666666.7,-64.0017090825441
38,-0.1,4563333333.3,-66.18484565498251
39,-0.1,4565000000.0,-64.27376387909285
40,-0.1,4566666666.7,-62.08751903384082
41,-0.1,4568333333.3,-62.248868005189884
42,-0.1,4570000000.0,-63.67054503284446
43,-0.1,4571666666.7,-64.02681609247858
44,-0.1,4573333333.3,-65.4228108125893
45,-0.1,4575000000.0,-67.07951537298516
46,-0.1,4576666666.7,-65.23935240877493
47,-0.1,4578333333.3,-65.70268145171707
48,-0.1,4580000000.0,-66.6624367475019
49,-0.1,4581666666.7,-65.2056083730691
50,-0.1,4583333333.3,-66.10913910742724
51,-0.1,4585000000.0,-66.44735440550325
52,-0.1,4586666666.7,-67.8396929357406
53,-0.1,4588333333.3,-67.07339092865367
54,-0.1,4590000000.0,-68.9372979857861
55,-0.1,4591666666.7,-67.83956308216861
56,-0.1,4593333333.3,-69.45253692812541
57,-0.1,4595000000.0,-71.71648805497378
58,-0.1,4596666666.7,-66.55998136623319
59,-0.1,4598333333.3,-66.51542731941556
60,-0.1,4600000000.0,-64.8390585049955
61,-0.1,4601666666.7,-66.0245723972182
62,-0.1,4603333333.3,-69.9204372395327
63,-0.1,4605000000.0,-67.64823513707606
64,-0.1,4606666666.7,-66.61798979817965
65,-0.1,4608333333.3,-70.20403847323283
66,-0.1,4610000000.0,-68.76736609654006
67,-0.1,4611666666.7,-70.28406783044956
68,-0.1,4613333333.3,-67.50083764918031
69,-0.1,4615000000.0,-66.05824791401447
70,-0.1,4616666666.7,-66.8995901287458
71,-0.1,4618333333.3,-65.87551668628824
72,-0.1,4620000000.0,-66.53108934849782
73,-0.1,4621666666.7,-67.05027918047782
74,-0.1,4623333333.3,-67.82557354966895
75,-0.1,4625000000.0,-67.46541959597047
76,-0.1,4626666666.7,-66.48381755926617
77,-0.1,4628333333.3,-67.6609256083888
78,-0.1,4630000000.0,-67.6608074674124
79,-0.1,4631666666.7,-72.18627142961441
80,-0.1,4633333333.3,-62.846517616545334
81,-0.1,4635000000.0,-66.27976196231143
82,-0.1,4636666666.7,-66.7652644683206
83,-0.1,4638333333.3,-66.50630907765701
84,-0.1,4640000000.0,-66.24054395093194
85,-0.1,4641666666.7,-65.99744004329129
86,-0.1,4643333333.3,-65.05697658638645
87,-0.1,4645000000.0,-67.17476934629137
88,-0.1,4646666666.7,-69.7973812758421
89,-0.1,4648333333.3,-65.17646435964431
90,-0.1,4650000000.0,-64.1047185636357
91,-0.1,4651666666.7,-63.50148274458761
92,-0.1,4653333333.3,-67.57893204097087
93,-0.1,4655000000.0,-65.78351495148698
94,-0.1,4656666666.7,-65.93819694973396
95,-0.1,4658333333.3,-67.31846629290997
96,-0.1,4660000000.0,-66.73670348486417
97,-0.1,4661666666.7,-70.39122785772781
98,-0.1,4663333333.3,-68.41563147872367
99,-0.1,4665000000.0,-69.55528391152939
100,-0.1,4666666666.7,-67.45096322457454
101,-0.1,4668333333.3,-65.69315273606229
102,-0.1,4670000000.0,-65.70010553978693
103,-0.1,4671666666.7,-64.2646308372082
104,-0.1,4673333333.3,-64.40432229375764
105,-0.1,4675000000.0,-67.25490419525504
106,-0.1,4676666666.7,-66.79446971230212
107,-0.1,4678333333.3,-65.76129707389464
108,-0.1,4680000000.0,-66.27672538767732
109,-0.1,4681666666.7,-64.94941834926541
110,-0.1,4683333333.3,-68.02701051421288
111,-0.1,4685000000.0,-68.43343654155765
112,-0.1,4686666666.7,-67.88849391849384
113,-0.1,4688333333.3,-66.36946786408855
114,-0.1,4690000000.0,-63.5608030959174
115,-0.1,4691666666.7,-66.62289379787835
116,-0.1,4693333333.3,-65.72929951596257
117,-0.1,4695000000.0,-65.44528565060484
118,-0.1,4696666666.7,-67.28765380717186
119,-0.1,4698333333.3,-64.66430137286481
120,-0.1,4700000000.0,-64.6842495827949
121,-0.1,4701666666.7,-66.84436513174718
122,-0.1,4703333333.3,-65.21176011129177
123,-0.1,4705000000.0,-65.88553026924068
124,-0.1,4706666666.7,-63.48933536923372
125,-0.1,4708333333.3,-65.1615390262958
126,-0.1,4710000000.0,-63.0322587702356
