,x_value,y_value,z_value
0,-0.1,4500000000.0,-72.56478776728625
1,-0.1,4501666666.7,-72.33837981373784
2,-0.1,4503333333.3,-68.7150844040304
3,-0.1,4505000000.0,-73.89762073057287
4,-0.1,4506666666.7,-76.98758374869006
5,-0.1,4508333333.3,-74.11715318876466
6,-0.1,4510000000.0,-72.94496698404612
7,-0.1,4511666666.7,-68.95913806926934
8,-0.1,4513333333.3,-73.19116705301792
9,-0.1,4515000000.0,-70.57817579398171
10,-0.1,4516666666.7,-80.16820572072902
11,-0.1,4518333333.3,-73.47216576432622
12,-0.1,4520000000.0,-73.84428320834178
13,-0.1,4521666666.7,-77.70931332640588
14,-0.1,4523333333.3,-73.8605217822572
15,-0.1,4525000000.0,-72.75499843135307
16,-0.1,4526666666.7,-68.75996629079151
17,-0.1,4528333333.3,-66.9522205264633
18,-0.1,4530000000.0,-66.90049617049333
19,-0.1,4531666666.7,-74.8181588355835
20,-0.1,4533333333.3,-71.35898835978838
21,-0.1,4535000000.0,-71.71515412050329
22,-0.1,4536666666.7,-73.99769980075183
23,-0.1,4538333333.3,-73.00093388574138
24,-0.1,4540000000.0,-72.78791276867582
25,-0.1,4541666666.7,-72.2862333167013
26,-0.1,4543333333.3,-74.32254218789677
27,-0.1,4545000000.0,-75.94870119661594
28,-0.1,4546666666.7,-69.59271641430645
29,-0.1,4548333333.3,-74.22759747845481
30,-0.1,4550000000.0,-73.35643860906461
31,-0.1,4551666666.7,-72.61752884285669
32,-0.1,4553333333.3,-72.27557191684878
33,-0.1,4555000000.0,-72.6014433564939
34,-0.1,4556666666.7,-74.47516615735054
35,-0.1,4558333333.3,-73.3441704402151
36,-0.1,4560000000.0,-72.16325490776731
37,-0.1,4561666666.7,-79.76275109878202
38,-0.1,4563333333.3,-75.77742585337728
39,-0.1,4565000000.0,-71.9848719159886
40,-0.1,4566666666.7,-76.57683108127826
41,-0.1,4568333333.3,-71.68555971170618
42,-0.1,4570000000.0,-74.36932628641797
43,-0.1,4571666666.7,-72.34878780293306
44,-0.1,4573333333.3,-72.05365666275556
45,-0.1,4575000000.0,-72.47676629332338
46,-0.1,4576666666.7,-70.93365066056
47,-0.1,4578333333.3,-75.14752525335865
48,-0.1,4580000000.0,-74.35766499300091
